SpearmanName,SpearmanValue
in-degree strong,"SpearmanrResult(correlation=0.5530168280087089, pvalue=3.934312664970119e-158)"
out-degree strong,"SpearmanrResult(correlation=0.5543452940289441, pvalue=4.871885675561523e-159)"
in-degree weak,"SpearmanrResult(correlation=0.34427453579094797, pvalue=0.0)"
out-degree weak,"SpearmanrResult(correlation=0.48424546187391904, pvalue=0.0)"
