Out-degree strong,Betweeness strong
2,4.689298012985985e-06
19,0.00010491786455999055
13,0.0006165733164226319
2,0.0005076294427153727
1,0.0005086467361877482
10,0.0006221729874574243
23,0.0008131843769515991
1,0.0
10,0.0009483832280336021
1,0.0
3,1.6276695558007946e-06
6,7.4519698247042255e-06
5,3.333126617782306e-05
20,0.00017511291777449982
5,8.006225476732225e-06
42,0.021657624635942917
21,0.0005181585821516813
14,0.0005846519807135225
7,0.0002731990323814683
13,0.00014830622731558274
31,0.0010166071712149447
11,0.00045990600212060604
8,0.00031990855713049136
31,0.0010564251703747039
13,4.0204139464136545e-06
15,0.0024510156463057107
13,5.401764590166185e-06
4,0.00021935269327471606
5,4.780968513074446e-05
6,0.0004243044814763264
12,0.0
13,0.0006261453011945906
12,2.662225099681822e-06
3,9.650228207535453e-06
31,0.015978344741724167
10,0.000511558094227762
6,0.00018545984568193286
2,0.0
28,0.00621251488464924
9,1.2968996283216812e-05
24,0.002222659669346546
15,0.00010216130152672985
11,0.001847806472905968
14,4.539279789792215e-05
6,6.358084202346853e-08
17,0.0022143090901094054
29,0.0017302008173667367
9,0.0005592342867228562
27,0.0011574883831385182
3,3.98225367709276e-05
41,0.011559954167552981
21,0.0015337486712321822
18,6.447531897517704e-05
1,2.4311647698264974e-05
4,9.44110946005923e-06
5,0.00015607276603081242
1,3.398107454483172e-06
12,0.003298670267328958
7,1.5357375535050707e-05
6,0.00020231819761091732
4,4.1118019539676165e-06
20,0.0005263175260436799
2,2.6898623471319608e-05
11,0.0004189875664864879
1,5.010516609909249e-05
9,0.002290050572203998
72,0.001438965938990664
1,0.0
4,6.547292610530581e-06
18,0.006005160953654853
2,5.734144998544339e-06
7,4.11251668212039e-05
10,0.0004444429628069683
6,4.02689929695106e-05
21,0.0007961025605324043
1,0.0
17,0.0007416399468015488
4,0.0003816758821483292
34,6.358084202346853e-08
75,0.0030839544031053497
1,1.3788920014333075e-06
9,0.0005516090913753287
8,0.00023258484474918803
5,1.239426687795159e-05
80,0.001420303671509856
6,1.3164864535278275e-05
3,2.58470174269119e-06
11,0.0004262403657368754
3,2.0727617774358917e-06
81,0.0006635742519288294
1,4.524557446990923e-06
2,3.639749081733801e-05
2,0.00020243527392031172
1,1.2716168404693706e-07
2,9.252526343986659e-07
6,0.001139384505116483
1,1.388817666563898e-05
2,1.356391296500662e-06
9,0.00017249593105421584
17,0.0019507810702327213
13,0.0002442168165707754
6,0.00016423570739430916
68,0.03838218742262349
1,1.356391296500662e-06
32,0.014411123742814239
1,0.0
59,0.0024181922701645778
92,0.0032870859893948056
1,0.00015466285328060843
2,1.428462752555622e-05
4,6.560092657583084e-07
19,3.7939606399672525e-05
1,3.209235580416301e-05
3,1.1960040955861263e-05
5,0.007874623486878703
67,0.0020804018805260158
3,0.00019774023377419042
3,0.0004934621151587339
5,0.0
71,0.0015992642256491693
1,6.585410892464334e-06
2,4.112474726943533e-06
1,0.00010173893302988298
12,0.0010536622282890692
15,4.0266728868122104e-05
4,0.00015369292108826103
15,0.005248292840106008
3,1.761547138312548e-07
4,0.0019960040956537007
3,7.962249021426854e-06
8,0.02881435885623754
4,1.4587726598481885e-05
3,0.0001446539033113572
85,0.0029720620148478323
5,1.6954891206258274e-07
1,3.07109554994465e-05
7,0.0005149427841399558
2,1.9524467420942197e-05
3,2.147619552792715e-06
2,3.0798178335575676e-05
46,0.004358847256439346
36,0.010755626657287937
20,0.03132469370309405
15,3.008813180105245e-06
9,0.0011546704337100872
4,1.7133951116574822e-05
3,3.1416964051260287e-06
1,5.140569776292357e-05
1,0.0
19,0.009347687681413981
31,0.0030722056529214393
4,9.278867686987513e-06
4,0.0023884449553253995
3,1.4777526230296684e-06
4,0.0
8,0.0
2,1.1303260804172182e-07
6,0.0006558644148955415
6,0.0010257221868216146
9,9.661267010621503e-05
1,5.425565186002648e-07
9,0.011714864970499736
27,0.0005086467361877482
8,3.7193602472771037e-06
1,0.0
1,0.0
5,0.0011966846237156698
4,4.5883221567065975e-06
26,0.00021834478960018703
61,0.0018574327936424402
35,8.584656901206242e-05
9,1.2110636575898768e-07
8,0.00020014347485176813
1,0.0020010162601626015
1,0.0
6,0.0005090300641628462
11,0.0
5,0.0002463895491398792
1,2.7431107467220205e-06
2,5.749419629225702e-06
3,1.835516768648952e-05
4,9.53236714790478e-06
2,3.642273950201555e-06
30,7.107991479159194e-05
21,0.003310418066467291
6,5.086036568313796e-05
4,7.771583709137638e-05
33,0.008466024875290702
1,7.672379930500603e-06
9,1.6748010655170896e-07
12,0.002533750365465854
47,0.00017863914870990617
2,0.0
10,0.005102321733897744
60,6.087728057005352e-05
2,0.0010152588854307454
3,1.675929371847205e-05
4,4.419743299111154e-05
15,0.0006067790767992654
10,0.0006637421708225515
3,0.0
16,0.005825075419759387
5,0.0002525368614256852
20,5.435136495554568e-07
2,0.0008148399613138805
24,0.0008265253971631289
17,2.6144298611149806e-06
4,6.155619743620832e-05
38,0.00043094272571204126
4,0.0
3,9.088162693362409e-05
11,0.011502327671787167
11,0.0028179728318293703
5,0.00013560940491507293
7,0.0020080557202440744
3,0.00011422313996141157
2,1.1868423844380793e-06
2,0.008723358701722214
1,4.39575028128171e-06
16,0.00307544166511488
1,0.0
38,6.29973187856165e-05
3,0.0008907829062757076
10,0.00014037176561318272
7,0.0005113877769327601
13,0.007616289622674892
10,0.0005086467361877482
41,0.01299583183655018
2,0.0
6,1.7274156403060613e-06
3,5.57496656869115e-05
100,0.0012000050809224765
35,0.0024177853024932782
5,1.7801532068166186e-05
29,0.0012911003290535395
31,0.011582093336268817
6,1.1826036616365147e-06
69,0.0023706078377237557
3,0.0013560444364453957
6,9.155641251379468e-07
9,3.479379411979472e-07
3,4.835471918862363e-06
5,0.0005196435882530369
13,1.2716168404693706e-07
1,2.1401116509679877e-06
6,0.00034168486136559347
6,4.411658937527046e-06
4,0.005688285796439342
24,0.007092365521458148
7,0.0007788439878930711
3,8.408993209343144e-06
37,0.000665277279109972
1,0.0005070239162353799
6,0.0002843172445138793
12,0.0008651163735345198
17,0.0001251667726364272
14,2.690970974254948e-05
4,0.0027321547784382705
7,0.00014919646225540576
1,0.000802205015751473
7,0.001363271734080503
4,0.0
16,0.0003197206688049237
4,0.00013357248052356214
5,0.0
14,0.000329375071258306
1,0.0004761200690475512
1,0.0
5,0.022351091218281195
4,0.0
3,0.00036159646360008914
15,0.0008136875904666427
70,1.362987108688992e-05
2,0.0
2,0.007990840225509527
3,0.006962121389711694
11,0.0010887651947482837
13,0.0023437569203965604
8,0.0020650639965079376
6,0.0004600713737374249
2,0.0
29,0.0027587331387973852
2,0.0
4,0.0010172934723754964
123,0.006303464929713939
1,3.742023196294249e-05
4,8.909043159294083e-05
2,0.00593951839460374
5,0.001065365820218789
4,0.0006706224268564806
1,9.341655517491905e-05
4,2.7148129056037536e-07
10,0.0037750989732502844
1,1.2207393649091837e-06
8,0.0007084831143428076
