date_store,mod_weighted_file,random_mod_weighted_file
2-01,0.39324303000606264,"[0.09353121444410303, 0.05894908187926148, 0.08200383692248911, 0.04742170435764767, 0.0704764594008753, 0.0704764594008753, 0.0704764594008753, 0.05318539311845458, 0.06471277064006839, 0.024366949314420017]"
02,0.2891562803748162,"[0.04845606155643542, 0.06158516440107438, 0.01782148825227793, -0.01718945266675928, 0.07033789963083373, 0.05720879678619477, 0.01782148825227793, 0.07033789963083373, 0.013445120637398264, 0.03970332632667618]"
03,0.3371644448502556,"[0.03986714755295827, 0.04324552593133671, 0.026353634039444823, 0.04324552593133671, 0.056759039444850154, 0.022975255661066382, 0.03986714755295827, 0.012840120525931267, 0.07365093133674215, -0.004051771365960619]"
04,0.33676657101489393,"[0.0466311744965187, 0.015683398867891996, 0.023420342775048647, 0.03889423058936205, 0.0775789501251454, 0.004077983007156963, 0.007946454960735344, 0.04276270254294043, 0.031157286682205396, 0.019551870821470377]"
05,0.3305092147785833,"[0.05761201851690108, 0.053873700759891716, 0.009013887675779625, 0.0015372521617608853, 0.04639706524587309, 0.016490523189798253, 0.053873700759891716, 0.027705476460826356, 0.027705476460826356, 0.06508865403091982]"
06,0.4245674488582592,"[0.040330995656288726, 0.09451818777451534, 0.06003542915382565, 0.04525710403067296, 0.05018321240505719, 0.05018321240505719, 0.06496153752820988, 0.09944429614889957, 0.08466597102574688, 0.07973986265136265]"
07,0.4177937447168216,"[0.055156382079459026, 0.06614539306847003, 0.011200338123415088, 0.049661876584953524, 0.04416737109044805, 0.038672865595942574, 0.06614539306847003, 0.02768385460693154, 0.06614539306847003, 0.005705832628909613]"
08,0.3527498332465302,"[0.03512330619591936, 0.056065714572882674, 0.05955611596904328, 0.10144093272296995, 0.056065714572882674, 0.06653691876136436, 0.049084911780561596, 0.028142503403598224, 0.03861370759207991, 0.056065714572882674]"
09,0.41712686120097153,"[0.04088923743859532, 0.08709385790064153, 0.034288577372588724, 0.04088923743859532, 0.08049319783463493, 0.07389253776862828, 0.054090557570608544, 0.08049319783463493, 0.0276879173065821, 0.0936945179666481]"
10,0.36585,"[0.025850000000000012, 0.020850000000000007, 0.04585000000000003, 0.04585000000000003, 0.09584999999999996, 0.06084999999999999, 0.07085, 0.08085, 0.06084999999999999, 0.08085]"
