In-degree strong,Betweeness strong
3,0.0
3,0.00017379214270561794
2,0.000695356364650654
1,0.0005086467361877482
20,0.0005095792552040925
1,0.0006283086945514169
7,0.0008590533312037667
1,0.0
1,0.0019115819464359629
1,4.0691738895019864e-07
1,1.5259402085632448e-06
3,5.6114865110026346e-06
1,3.273181823368153e-05
4,0.0001950004598753639
3,1.0011871848088081e-05
47,0.02476842261981166
1,0.0005180026252784868
2,0.0006277310940716581
1,0.0003195685106643349
1,0.00016756717288380482
2,0.0010696708844300884
28,0.00013861081594153556
8,0.0002971938099273285
6,0.0007240141501925728
1,3.6098627986565398e-06
10,0.0013215944239808094
2,5.7880097153735365e-06
3,0.00028845727758101443
21,0.0015330060533101234
1,0.00041462313898810843
1,7.921720226390718e-06
4,0.0005412274774643938
1,0.0
1,2.6848194886946776e-06
2,0.01346902194227041
1,0.0005191926931311769
13,0.00018634585845319794
1,0.0
2,0.007604451148330847
2,1.998745301079501e-05
4,0.0026739865792018177
4,0.0003854251595290489
6,0.0017815171880251229
3,6.481262533103664e-05
3,9.236395987916533e-07
2,0.002343016184642135
3,0.0016923283482096693
2,0.0006263753381989644
2,0.001144126657273108
3,4.435047553943314e-05
69,0.008656352661731575
10,0.001590227117311112
4,0.00011556535698908302
3,1.709455619658601e-05
1,1.5086353300871839e-05
3,9.362547922942491e-05
1,0.0
3,0.0017545869418433612
1,1.4360979169186538e-05
2,0.00016369977760716456
3,9.6622085283381e-06
2,0.00046007568619566995
31,0.0003602437935126331
5,0.00036856112633455013
18,6.646870446842891e-06
21,0.0018904731821337872
3,0.0015394616499742567
2,0.0
1,1.3239501342702002e-07
12,0.004988094135599836
3,6.702978070508554e-06
4,6.613992035482894e-05
1,0.000500277473197105
2,3.198757749283867e-05
1,0.0007791228301071542
2,0.0
7,0.0007698395614359534
11,0.0002582335883053757
1,8.661167334466301e-08
12,0.004796268228019785
4,1.862320362636724e-06
4,0.000521752677890361
1,0.00027631790964735564
2,1.5302783596697796e-05
4,0.0017726147043859901
1,1.5096999555148521e-05
6,4.125191613751298e-06
4,0.0004168342932279685
6,1.5883363143999407e-06
1,0.000756398815699307
19,4.275383322006232e-06
32,3.285457890793862e-05
18,0.00023435653877539465
1,3.602914381329883e-06
1,2.6850418376438093e-05
26,0.000803454285073097
16,3.1380926076688216e-05
1,2.712782593001324e-06
18,0.0001565355818987736
16,0.0027824882817346
7,0.0002901033436561639
28,9.531064768561215e-05
127,0.04115051921882309
2,1.2716168404693705e-06
8,0.016885188277202583
5,0.0
3,0.0027392745520964526
1,0.0028307156648850734
6,0.00023712188190244066
2,8.569926827890547e-06
2,2.629022835940662e-06
7,0.0003243358598099971
7,3.672262348378472e-05
2,1.207407601891581e-05
13,0.0075815735015626546
1,0.0021544135574139834
13,0.0021526778838589907
2,0.00048557440548628405
1,0.0
4,0.001962615740231356
4,4.749551661139787e-06
12,8.099534830571054e-06
2,0.0033861783796192636
9,0.0013871459385797825
3,3.1773298399246795e-05
1,0.00014481320875018788
9,0.00562270111117696
1,6.752211059334436e-07
1,1.512873469099775e-06
1,6.476960169382608e-06
329,0.03202580401342383
1,1.4418177686419303e-05
1,3.007638117113138e-05
7,0.0030820603768812373
1,2.0345869447509932e-07
1,3.359992698557668e-05
1,0.0005147947008455032
5,1.3208233245327854e-05
1,4.018309215883212e-06
10,0.0005856192820075186
3,0.003549263804111718
1,0.010641617145162647
91,0.03569157017090104
1,3.58584939342748e-06
17,0.002346122154517322
3,2.435486596756134e-05
1,3.778518611680416e-06
2,3.0481607059837144e-05
5,1.3446266782741851e-05
5,0.009253287827838439
2,0.0028485636709704967
5,5.8282162375604045e-06
13,0.0009197956959979478
2,1.356391296500662e-06
1,0.0
1,0.0
3,0.0
2,0.000610155023695978
5,0.0010855598991487937
1,5.16163794379832e-05
2,0.0
38,0.011386462609145012
1,0.0005101363088670644
1,5.855282951406978e-06
1,0.0
1,1.0172934723754965e-06
11,0.002031839920407857
1,3.899190236639243e-06
1,0.00016224621661190127
3,0.003759583917224431
3,9.513040559556841e-05
1,0.0
9,0.00040725220960389846
3,1.2016434615705377e-05
1,0.0
1,0.0005087227567597329
1,4.1027525249862065e-06
2,0.000185226561804611
1,3.0490440583778016e-06
2,1.0389854666323004e-05
12,1.6884274035462192e-05
3,1.6735808416906417e-05
5,2.1108839551791554e-06
1,7.842568617618648e-05
15,0.003071454262730872
1,4.403562530871067e-05
21,0.00013855688816777418
