date_store,Gini_in_values,Gini_out_values
2-01,0.8415892672858617,0.42213474863629663
02,0.9311587384906919,0.2938971367449415
03,0.9371788530998998,0.3041091815877122
04,0.9498539640142641,0.28547299666965004
05,0.9365359278402756,0.3177108881456708
06,0.8934977463195599,0.35061954789285166
07,0.8678437585303445,0.3924200794422207
08,0.9292082386309765,0.3253056436735214
09,0.8501415402482398,0.3380561805908398
10,0.851454481092787,0.3746355988672331
11,0.879779148199638,0.42033333729409017
12,0.892985320462921,0.551425151926772
13,0.8908725388601036,0.565936060629495
14,0.8606348367085723,0.5047390269029021
15,0.8654188693186654,0.44825823993172875
16,0.895947254753529,0.40580943581066037
17,0.8645627187784239,0.4182042023832493
18,0.82592889559209,0.46279306945535986
19,0.8848140495867769,0.42236835134562406
20,0.8943324655556697,0.4432570051402236
21,0.8852881678485598,0.48047730528359517
22,0.8686355362544733,0.5439643535397719
23,0.8874953863923339,0.47515505560579313
24,0.8580114934436198,0.6825796699636161
25,0.8884416424713536,0.6695580997963229
26,0.8805160628890384,0.6756966841637437
27,0.885624964501871,0.6912980277201144
28,0.8854303601249328,0.7055021199532263
3-01,0.8819100299941444,0.7124091295266404
3-02,0.8807303950223582,0.7042936899489795
3-03,0.8886539179952814,0.6902268051779326
3-04,0.8887819877975295,0.6879784626551829
3-05,0.873668496904693,0.6954285293256139
3-06,0.8820376031286485,0.697420640539769
3-07,0.8836755775440504,0.6995724581331956
3-08,0.8874480384010596,0.6853516579908544
3-09,0.8927013515872153,0.6813495237233803
3-10,0.8737665271632455,0.6801832753869764
3-11,0.8882008776597934,0.6712751210909348
