In-degree weak,Betweeness weak
0,8.313441657428073e-05
0,6.316295810426913e-06
3,4.637629282062897e-08
0,4.008853497774684e-06
34,0.0005904670781765363
0,4.889874013103108e-05
4,7.154639358909348e-07
0,3.3235290875527692e-06
3,4.32003116913237e-09
138,0.00023598083121765393
1,0.0
0,6.549165293487852e-07
0,2.88070356954031e-07
0,0.00026201882694574065
0,1.7533358558801565e-06
0,0.0
0,6.873885386847341e-07
5,1.875744702586685e-05
2,0.0006320953179644824
1,0.0
2,4.2434770082459334e-08
25,5.011669879665315e-06
0,0.0
0,6.231359606247286e-05
0,6.623032292004341e-06
0,6.861096790829077e-08
124,0.00019395529065523197
0,6.294436405712905e-05
0,6.8080881594217665e-06
1,0.0
3,2.926857745055999e-08
1,0.0
35,0.0001643518360751291
0,3.926952696923149e-08
2,3.4247492336812603e-06
1,0.0
1,0.0
56,0.00022031371853356555
1,0.00027779834291319117
0,8.844321179367028e-06
5,7.938246129927833e-06
0,1.3098995807363184e-06
0,5.258832517042625e-07
15,0.00011340507558214574
0,0.0011509614168120261
0,0.00011896674055459184
0,0.0034983308033648924
0,4.542697431248628e-07
0,8.060583011386855e-05
1,7.734055962876327e-05
6,6.186393950841457e-05
1,0.0006684724713846229
0,5.534333945694204e-05
0,1.5654346531038277e-06
3,0.0
0,0.0
0,0.00020666623353865967
1,0.0
1,0.0
6,6.349788186029279e-07
1,5.855707209198447e-05
0,1.1406373387923789e-07
14,4.867364248353213e-06
0,8.828472625194517e-06
1,0.0
0,0.0
0,0.0001611966957966677
4,3.0210573635828978e-06
0,0.01670191392179473
2,0.0
0,0.0
0,9.338075006214196e-05
1,0.0
0,1.7072813071488343e-08
4,1.7988321335826905e-09
0,1.0181780930058353e-07
0,2.0991679332066907e-05
0,8.89851454049046e-09
0,0.01575440551668
0,3.4321102718936377e-10
0,6.997926307381999e-05
0,2.1202017335318234e-05
4,6.070261367888573e-06
1,0.0
83,0.00019326922146697072
1,0.0
0,0.0
0,5.117738407236931e-08
6,3.016255245515587e-06
1,0.0
0,0.0024427978679043847
0,4.120811190993968e-05
5,0.0
1,5.498611784679306e-05
0,1.5794449097788152e-07
0,0.0
0,7.584586871438312e-05
16,4.7773592753229873e-05
1,0.0
2,4.872971593753992e-07
1,0.0
0,0.0
3,1.725361505735561e-06
4,1.0360846141906841e-05
2,0.0
0,1.7560772061831796e-05
0,0.0
1,0.00021197606458475576
5,1.600138765215345e-06
2,0.0
0,5.336797414060983e-05
0,0.0
1,3.425378064991075e-05
0,3.981280881955524e-06
1,5.851300853584726e-05
1,5.3564594822664354e-05
1,0.0
0,1.8733527289487415e-06
1,0.0
0,0.00027774572299816305
0,2.4078013541550265e-05
1,0.0
0,0.0
0,0.00017673492217347062
0,8.965878724853302e-08
1,5.888721648939073e-05
0,0.00017271448702794922
2,0.0
6,6.091242231029786e-05
0,2.296603832857969e-07
0,2.3827821264868e-05
0,9.194231564478117e-07
2,6.240822433288591e-08
0,2.923546529112154e-06
1,0.0
0,3.12992543992562e-07
0,0.0
0,5.34782576460972e-05
3,0.0
0,9.791576857439876e-06
0,6.838841836523437e-08
0,6.30544357544611e-06
0,0.0
0,0.0
1,0.0
2,0.0
0,8.560158393262998e-07
0,8.128558239168968e-08
0,3.141233395117271e-07
3,8.080292135590616e-09
1,1.5936122830035865e-08
134,0.0012369239556720816
0,1.932318721044577e-06
3,3.0031559778726243e-07
0,2.9551256727173063e-06
4,0.0
0,1.4830896723196226e-06
2,0.0
0,0.00010905584089316688
0,0.0
0,0.00010304891236979464
0,4.567544985609467e-09
0,0.00016748244325610052
75,0.0009732898659846509
0,0.0
1,0.0003553112170423405
1,0.00023641153377232352
0,5.116551337754565e-05
2,5.44906087991546e-08
1,0.0
0,0.0
0,2.895414013736853e-07
1,5.442224107016644e-07
0,2.051444070601336e-06
0,5.778100372144348e-07
5,4.2729338013033494e-05
6,0.0011844730921715162
3,0.000491464017246471
1,0.0
1,0.0
0,0.0
0,0.0
1,0.0
1,0.0
1,0.0
0,0.0
14,7.831422397273222e-06
0,3.911238859897152e-05
0,4.3972445630043617e-07
2,3.899779251596976e-07
1,2.085943878127306e-06
1,0.0
0,0.0004811081392150325
1,0.0003844478950184506
0,0.0
0,5.343449693895648e-05
0,0.0041087292549091105
1,0.0
1,0.0
2,9.31005070596832e-08
3,0.00013175430377744283
54,0.00010938221455763452
0,4.583244346373966e-05
27,7.666289031053454e-05
0,5.448369944663858e-05
0,4.1695074258642556e-07
4,0.0
1,0.0
0,0.0
0,4.344030016039092e-07
12,1.3183601094033293e-05
8,5.349951253782051e-07
3,1.4288446156171092e-09
0,0.00025462897862620266
1,0.00011158172454176005
0,0.0
0,0.0003946715739563437
0,7.240556973142409e-05
20,4.815458995640715e-06
0,1.6947878417793245e-08
0,6.053726668533515e-06
7,0.00031092384793086984
1,0.0
0,3.0373867199390587e-05
0,8.758169411538744e-06
0,0.0
4,2.171241009525193e-08
14,0.00019815387201549848
0,1.882959466695346e-08
1,0.0
0,0.0
0,1.1840037464742853e-06
3,2.3487848812415714e-05
14,5.875682897046521e-05
5,1.4609195554297682e-06
4,0.00010775555885716629
0,0.0
5,2.082798308452835e-05
0,2.0909734180059196e-07
0,4.337764064890139e-06
1,0.0
0,1.7723807155827435e-05
54,0.000473505706053646
0,7.634200349845098e-05
1,0.0
0,9.616557841841693e-06
0,0.0
0,2.7575591054359585e-07
0,0.0
0,8.015169445529799e-08
1,0.0
0,0.0001202288899440428
3,1.972482675227093e-05
0,5.5544141197747774e-06
12,3.977856996224111e-06
0,3.4585886033150413e-06
0,6.7105172931182466e-09
0,1.6982181488800186e-05
2,5.722377527447816e-05
0,0.0
1,0.0
4,2.401127182272787e-06
1,0.0
2,8.383759737515427e-09
0,4.3307956069471585e-09
4,0.00013240745432843736
2,0.0
53,5.229091785331843e-05
0,3.752799363807289e-08
0,6.155280080293129e-05
0,0.00023029645267419753
0,1.951238911628466e-06
1,0.00013715201355700969
0,0.00012392960389228167
1,0.0
0,1.687862365125425e-08
5,8.182330671701072e-05
1,0.000137072572393316
1,2.174306385400619e-07
0,0.0
0,6.881241880347719e-05
2,7.115512700364415e-07
0,0.0005256073082101886
0,3.0462041645662065e-07
1,0.0
0,0.0038336038802240027
2,0.00017647375031424784
2,2.6350305900280514e-07
0,0.00015920186707205829
0,0.0
0,2.113761591273536e-05
0,0.0002697857591068294
0,5.306728902401943e-05
1,0.0
0,1.4263398342248883e-07
0,9.523941038025544e-07
0,0.00011701441975483259
0,2.0946546865354862e-05
55,1.25026569611376e-05
0,4.436894043949914e-05
1,0.0
0,1.4423587549881502e-06
0,3.0202092971300925e-06
0,8.559454453956072e-06
0,3.400151253504578e-07
1,0.0
0,0.0
0,5.306728902401943e-05
0,5.724046631198428e-05
2,0.0003397606813643144
1,1.3711649481036846e-05
0,3.471442278477142e-05
0,1.5548025042068256e-05
55,0.00011687170296957398
5,2.0737510364993914e-09
0,0.0007514803831806062
0,4.7084749533461923e-07
0,0.0
0,0.000329585700109654
0,0.0001139582514490765
0,2.5984604648536317e-06
0,0.0008366762283929115
0,0.0
6,5.320851195961621e-05
32,0.00019103556209074937
0,5.306728902401943e-05
0,1.6780298953180565e-05
1,2.5282526963294633e-07
1,0.0
2,0.0009732896935472973
1,1.8604444556120048e-06
0,0.000222480857241231
1,1.2443864089759058e-07
2,2.3275126764920804e-09
0,0.00015992035145183893
1,0.0
0,6.985946645710578e-05
0,6.323459731980463e-05
1,4.343631021843561e-06
0,3.2818675489515507e-07
0,0.00010042499524766148
0,0.00016140123859107646
0,1.0975515021331893e-06
1,0.0
0,3.4774016638499613e-06
5,9.655717848996931e-05
7,0.0029418677470685536
2,2.4435086060543172e-09
0,0.00021410340520149488
0,2.9762048224592367e-07
1,0.0
0,0.00010323595624404099
0,4.996069323303477e-07
0,3.6722466170923344e-07
0,4.780149815075106e-07
0,7.869443340364283e-07
1,0.0001711759430202237
0,6.542365564079761e-08
0,0.0005331551599975614
0,0.0
3,6.86404891603815e-08
25,3.035784138161404e-05
0,0.00039269013642023254
0,2.438553912541714e-06
0,1.5793846237639217e-09
0,0.0003382587859190812
12,8.351591389514101e-06
0,6.910640923889442e-07
0,4.154095681075368e-05
123,9.794093977309412e-05
31,2.378148660904618e-05
1,0.0
1,0.0
0,5.447840989810127e-07
0,9.638362226350157e-05
0,7.019482675134845e-09
0,1.9292239031691475e-06
1,0.0
0,0.0
0,0.0
1,0.0
0,0.0
1,5.3073730854250896e-05
5,8.289484313469183e-05
1,5.043096171967413e-07
0,9.96773505228423e-07
0,2.8709586288113126e-07
0,0.001130921838714194
0,5.6672595270066545e-05
0,6.671750920389839e-06
6,1.0115167056992989e-06
0,2.870461867267451e-06
0,0.0
0,3.073483409625872e-05
1,0.0
1,0.0
12,0.00010704971177403821
0,5.580423434521789e-05
2,2.683421377182074e-07
15,1.2887751804814203e-05
0,3.7610970999525936e-05
0,6.687243556794301e-07
0,0.006371426942045507
0,0.0
0,6.411482495335283e-08
0,0.0003630911585251893
0,4.352751995889166e-08
9,0.00015702373656269818
5,9.410779418948542e-06
0,0.0
0,4.496926704929341e-08
7,0.00018334840411140944
0,1.0007744399821036e-05
0,1.9907752721502905e-06
0,0.0004458469971512708
0,1.1452366124866017e-08
0,8.433469734714843e-07
0,5.306728902401943e-05
0,0.0
6,2.1685259169040244e-06
1,0.0
0,2.0072078239396505e-07
1,0.0
0,6.023993680337581e-05
0,0.00746660278702085
0,1.721597682453878e-05
7,0.002489832064687461
0,8.029435919376322e-06
0,4.0917461761414954e-05
3,0.00018674205298904324
0,5.347641151190591e-07
0,0.0
4,0.0005428009305966788
0,0.0005558149079272
0,6.42504590725421e-05
1,0.0
0,1.1358136625947217e-08
4,5.713922215835915e-05
0,2.939497614253536e-07
0,7.022091123550093e-07
0,0.0
1,0.0
1,0.00011605668542627128
0,0.0
4,7.392620108184008e-08
0,0.0
0,2.8088036904155155e-07
0,4.484985966366567e-08
0,9.329685691657959e-08
0,4.448691524150805e-05
2,0.0
2,1.2626428560555018e-07
4,7.882616608390338e-05
0,0.00023295157376067695
0,0.0
0,0.0
0,1.0006147458046495e-07
0,2.9996871024432242e-06
