Out-degree strong,Betweeness strong
2,0.0
19,0.0001269614443586106
13,0.0005931843117176677
2,0.0005086467361877482
1,0.0005076294427153727
10,0.0006312951976159513
23,0.001319309642934463
1,0.0
10,0.0009297376857718444
1,0.0
3,6.103760834252979e-07
6,8.848062223981605e-06
5,2.335111594132323e-05
20,0.00016339029953352298
5,2.1468045561491566e-05
42,0.02443462813008015
21,0.0006055843371983833
14,0.0005970149586183076
7,0.0001668856258832129
13,0.00017080485212156847
31,0.0010408464262889616
11,0.00026612725377020907
8,0.00030113748804984776
31,0.0010644061975349562
13,1.405465079726878e-06
15,0.001500238773144207
13,4.252139004367782e-06
4,0.00012426395498267012
5,0.0016584355800664857
6,0.0004180810328331031
12,9.719096781817789e-06
13,0.0005901272552482906
12,0.0
3,3.52191976394236e-06
31,0.014091192235589843
10,0.0008403877805852642
6,0.0002221347566183258
2,0.0
28,0.007459260536062186
9,1.479415832011111e-05
24,0.002293116338775073
15,0.00021735483089622897
11,0.0017906772587394574
14,0.0011458074080557647
6,7.9329020082808e-06
17,0.002358827030579533
29,0.001754829801698511
9,0.0005766860663761946
27,0.0015763397291058284
3,4.7156958474684177e-05
41,0.011019059052351917
21,0.0015798791713638944
18,9.485514101206434e-05
1,3.069439806287847e-05
4,1.541240642750465e-05
5,0.0001294351215802366
1,3.398107454483172e-06
12,0.0016710934977434131
7,1.7179047993337138e-05
6,0.00010446781798169696
4,2.3085281276491005e-06
20,0.0005277774078455778
2,2.2018133076668542e-05
11,0.00046505672741941777
1,3.6194218282710417e-06
9,0.002052196904124453
72,0.0014675660534317107
1,1.2716168404693706e-07
4,7.002149874792378e-07
18,0.004707427241297316
2,8.940660255276238e-06
7,4.295789542682318e-05
10,0.00036436803719631016
6,2.8885759894458822e-05
21,0.0007981696316942859
1,0.0
17,0.0008308666826123666
4,0.0003618671100937724
34,1.4496431981350828e-07
75,0.003784948206065915
1,1.9848844484569876e-06
9,0.0005543232070455565
8,0.00023918081859686637
5,3.667490605884231e-06
80,0.00222306143557129
6,1.4551220418912172e-05
3,3.1730918252715232e-06
11,0.0006295410925547279
3,3.942012205455049e-06
81,0.0007897040743282795
1,0.0020055885102946464
2,2.5488959581667893e-05
2,0.000196695104871806
1,1.2716168404693706e-07
2,2.031332865026033e-06
6,0.0021369051685797575
1,1.779866189150558e-05
2,0.0
9,0.00019358213330658715
17,0.001584992778527651
13,0.00030032625469587963
6,0.0001282030253695563
68,0.04577670410395931
1,1.5259402085632448e-06
32,0.015503685652187122
1,4.9169184498149e-06
59,0.0021884794435305943
92,0.0030116136429327645
1,0.0002581754338538647
2,7.2006175190422575e-06
4,1.0033248833737956e-06
19,0.0020513784481949924
1,2.4122292168129036e-05
3,3.013388330981013e-05
5,0.007280113400881073
67,0.002164198101805503
3,0.00014263984958654997
3,0.0004684626029788445
5,0.0
71,0.0016979502479676882
1,6.392633204614096e-06
2,3.5169819784680895e-06
1,0.00011174930997193461
12,0.002452483523261528
15,2.7961377897087722e-05
4,0.0001376813362618875
15,0.0060916068413779025
3,8.701302523198897e-06
4,2.4860172748500892e-06
3,4.2852210723251694e-06
8,0.03345101309477797
4,0.0
3,6.38483783351321e-05
85,0.003747283343035169
5,3.730076065376821e-07
1,2.7624153372602994e-05
7,0.0005145412798385659
2,2.4753107862459136e-05
3,7.183222241051422e-06
2,3.4250213660278095e-05
