In-degree strong,Betweeness strong
3,0.0
3,0.0001269614443586106
2,0.0005931843117176677
1,0.0005086467361877482
20,0.0005076294427153727
1,0.0006312951976159513
7,0.001319309642934463
1,0.0
1,0.0009297376857718444
1,0.0
1,6.103760834252979e-07
3,8.848062223981605e-06
1,2.335111594132323e-05
4,0.00016339029953352298
3,2.1468045561491566e-05
47,0.02443462813008015
1,0.0006055843371983833
2,0.0005970149586183076
1,0.0001668856258832129
1,0.00017080485212156847
2,0.0010408464262889616
28,0.00026612725377020907
8,0.00030113748804984776
6,0.0010644061975349562
1,1.405465079726878e-06
10,0.001500238773144207
2,4.252139004367782e-06
3,0.00012426395498267012
21,0.0016584355800664857
1,0.0004180810328331031
1,9.719096781817789e-06
4,0.0005901272552482906
1,0.0
1,3.52191976394236e-06
2,0.014091192235589843
1,0.0008403877805852642
13,0.0002221347566183258
1,0.0
2,0.007459260536062186
2,1.479415832011111e-05
4,0.002293116338775073
4,0.00021735483089622897
6,0.0017906772587394574
3,0.0011458074080557647
3,7.9329020082808e-06
2,0.002358827030579533
3,0.001754829801698511
2,0.0005766860663761946
2,0.0015763397291058284
3,4.7156958474684177e-05
69,0.011019059052351917
10,0.0015798791713638944
4,9.485514101206434e-05
3,3.069439806287847e-05
1,1.541240642750465e-05
3,0.0001294351215802366
1,3.398107454483172e-06
3,0.0016710934977434131
1,1.7179047993337138e-05
2,0.00010446781798169696
3,2.3085281276491005e-06
2,0.0005277774078455778
31,2.2018133076668542e-05
5,0.00046505672741941777
18,3.6194218282710417e-06
21,0.002052196904124453
3,0.0014675660534317107
2,1.2716168404693706e-07
1,7.002149874792378e-07
12,0.004707427241297316
3,8.940660255276238e-06
4,4.295789542682318e-05
1,0.00036436803719631016
2,2.8885759894458822e-05
1,0.0007981696316942859
2,0.0
7,0.0008308666826123666
11,0.0003618671100937724
1,1.4496431981350828e-07
12,0.003784948206065915
4,1.9848844484569876e-06
4,0.0005543232070455565
1,0.00023918081859686637
2,3.667490605884231e-06
4,0.00222306143557129
1,1.4551220418912172e-05
6,3.1730918252715232e-06
4,0.0006295410925547279
6,3.942012205455049e-06
1,0.0007897040743282795
19,0.0020055885102946464
32,2.5488959581667893e-05
18,0.000196695104871806
1,1.2716168404693706e-07
1,2.031332865026033e-06
26,0.0021369051685797575
16,1.779866189150558e-05
1,0.0
18,0.00019358213330658715
16,0.001584992778527651
7,0.00030032625469587963
28,0.0001282030253695563
127,0.04577670410395931
2,1.5259402085632448e-06
8,0.015503685652187122
5,4.9169184498149e-06
3,0.0021884794435305943
1,0.0030116136429327645
6,0.0002581754338538647
2,7.2006175190422575e-06
2,1.0033248833737956e-06
7,0.0020513784481949924
7,2.4122292168129036e-05
2,3.013388330981013e-05
13,0.007280113400881073
1,0.002164198101805503
13,0.00014263984958654997
2,0.0004684626029788445
1,0.0
4,0.0016979502479676882
4,6.392633204614096e-06
12,3.5169819784680895e-06
2,0.00011174930997193461
9,0.002452483523261528
3,2.7961377897087722e-05
1,0.0001376813362618875
9,0.0060916068413779025
1,8.701302523198897e-06
1,2.4860172748500892e-06
1,4.2852210723251694e-06
329,0.03345101309477797
1,0.0
1,6.38483783351321e-05
7,0.003747283343035169
1,3.730076065376821e-07
1,2.7624153372602994e-05
1,0.0005145412798385659
5,2.4753107862459136e-05
1,7.183222241051422e-06
10,3.4250213660278095e-05
3,0.005252425750175191
1,0.01095072633976059
91,0.03951144444302522
1,5.810341238178288e-06
17,0.0008214583823014181
3,1.9700851758245604e-05
1,7.457730003438462e-06
2,6.6459522713751845e-06
5,1.4314772432712343e-06
5,0.009198517774644097
2,0.0033673776432565534
