In-degree strong,Betweeness strong
3,0.0
3,0.00012649755936168785
2,0.0006555706898554218
1,0.0005086467361877482
20,0.0005095792552040924
1,0.0006397241351410026
7,0.000362894296654221
1,0.0
1,0.0013583065176232018
1,1.424210861325695e-06
1,1.8650380326884102e-06
3,5.060461433251051e-05
1,2.3289398125834475e-05
4,0.00017845736902544576
3,1.042233249314238e-05
47,0.02397686231544089
1,0.0005207236981186928
2,0.000575230569938565
1,0.00028687855578684706
1,0.00015581174751003982
2,0.0010060359301811634
28,0.00043318207499910453
8,0.00032418215378632765
6,0.001190861280294986
1,5.200174641633562e-06
10,0.0002654487479099949
2,1.1164664777503635e-06
3,0.0003736091228288649
21,5.3210121011391324e-05
1,0.0004013389269671129
1,1.7973765554270718e-06
4,0.0005799257290455761
1,2.2674804531361165e-06
1,2.666323243742396e-06
2,0.012583427179295684
1,0.0005207445396553322
13,0.00019995228664591814
1,0.0
2,0.013383391771576674
2,1.0966395046931297e-05
4,0.002496498986197181
4,0.00013829406764135984
6,0.0015019941568992121
3,0.001140268766507362
3,7.38008139444955e-06
2,0.0023612254123784445
3,0.0017485416314088824
2,0.0007287742583606136
2,0.0015074106718673157
3,4.3245144065974594e-05
69,0.01149260558571157
10,0.0014858965250851642
4,7.604805936160736e-05
3,2.802815563440555e-05
1,9.748768928660487e-06
3,0.0001041017419614563
1,0.0
3,0.0011597571674409597
1,1.4172359143691497e-05
2,0.00022036428372365735
3,6.540038525449169e-07
2,0.0005001029935060221
31,0.000296618194768188
5,0.0003672885313567348
18,4.977600330509115e-05
21,0.0018494900065749538
3,0.0013251433194547708
2,0.0
1,4.3159254335997234e-05
12,0.0049138080554522075
3,5.6291176675997974e-06
4,6.846701165407538e-05
1,0.0006343322059488124
2,2.884009082526266e-05
1,0.0007806661119929138
2,0.0
7,0.0012723872254675648
11,0.0002649529461663235
1,1.1444551564224336e-07
12,0.00328079257920112
4,1.655980049483501e-06
4,0.0005151965438466112
1,0.00021064474751885987
2,2.2978578839953262e-06
4,0.0012467904431846463
1,9.539985757729253e-06
6,5.795589697325787e-06
4,0.0006018289694145938
6,4.844254630359507e-07
1,0.0006845767358268678
19,1.4762938876269177e-05
32,2.0798385237206335e-05
18,0.00020764260742881836
1,2.543233680938741e-07
1,1.3194538549441708e-06
26,0.0009047459958264724
16,2.9209715575468855e-05
1,0.0
18,0.0001804280950737727
16,0.002867811286452561
7,0.0002577093397421745
28,0.00016216086272366183
127,0.04137755781996191
2,2.3736847688761582e-06
8,0.014917327024227298
5,0.0
3,0.002126875118402121
1,0.0029226185512652063
6,0.0009913405161426046
2,6.730724819897386e-06
2,1.3836049817269554e-06
7,0.0033885967974553108
7,6.733374121690477e-06
2,1.939588626983092e-05
13,0.00853773844114431
1,0.002117803166673882
13,0.00015817316065210556
2,0.0006205161947531013
1,0.0
4,0.0016958421960625908
4,4.500635324576998e-06
12,0.0015762705018784573
2,0.0021215890815612704
9,0.0015038862970602252
3,2.1340617507251698e-05
1,0.00013428266146404044
9,0.00565197006862796
1,6.477637922390981e-07
1,5.266305100662368e-05
1,6.6955644917004e-06
329,0.03515240931223542
1,1.8739616596390725e-07
1,2.5876619670002327e-05
7,0.004578190112140546
1,3.794605541663593e-05
1,2.80692239943254e-05
1,0.0005145047827837941
5,2.34431680073144e-05
1,2.543233680938741e-06
10,2.7860658345608386e-05
3,0.0035795383924485916
1,0.011190361819181555
91,0.03582982169763633
1,2.9804914015211914e-06
17,0.0003745453724505995
3,2.9828271383559986e-05
1,4.231891160419189e-06
2,3.7937713191807734e-05
5,2.543233680938741e-07
5,0.008309682447588387
2,0.003014829930910846
5,6.699104138669551e-06
13,0.0009674300371536272
2,3.399386557650332e-06
1,0.0
1,2.8111563656410878e-06
3,1.1303260804172182e-07
2,0.0006565830477665967
5,0.0010746762758555178
1,4.228739370025236e-05
2,0.0
38,0.011811727023822865
1,0.00050875976879579
1,5.911414945886999e-06
1,0.0
1,2.034586944750993e-06
11,0.002022354937548156
1,2.63571490570015e-06
1,0.0003509330007245102
3,0.0019936114164148156
3,9.034139395214575e-05
1,3.8969033272031485e-05
9,0.0002345120239819734
3,1.2016434615705377e-05
1,0.0
1,0.0005089858340118734
1,6.605242713399573e-07
2,0.00021846415967755853
1,2.798367247796551e-06
2,9.009734408110704e-06
12,2.478811075090902e-05
3,1.4544272144443636e-05
5,6.755405883849174e-06
1,4.2739546372725565e-05
15,0.002771990834750821
1,4.958185127635222e-05
21,0.00011204892894095172
75,0.01147950506293289
2,0.00012684898419623502
4,3.965364809290781e-06
15,0.0015382841910471473
1,0.00018614549972670167
1,1.2716168404693706e-07
1,0.0034571007440569192
1,9.564445254655234e-05
2,0.001030249431384393
22,1.7804759868193854e-05
2,4.1775304417536615e-05
2,0.000591942333154377
2,0.0006755491281415264
1,0.0
4,0.00561504764237482
3,0.00024199448074898306
1,0.00016645433130269184
35,0.0013075314571602908
5,0.0027145940046389263
1,3.959090048070146e-06
1,0.0
3,0.00045861389618332207
1,0.0
20,0.00022635411682952452
222,0.009814598426654286
5,0.0018372510177522322
1,0.00011510556604468923
22,0.0019356037081747915
19,8.32134570262523e-05
2,3.7300760653768204e-06
42,0.009763742621691924
1,4.39575028128171e-06
2,0.0033516160620833345
1,0.0
1,5.165192728722587e-05
4,0.0009135342250077705
1,9.493555176448814e-05
1,0.000510623192076935
9,0.008593544741689354
1,0.0007690091585569459
40,0.009748598316613384
1,0.0
2,8.616849857862747e-06
2,6.938423436346155e-05
1,0.001154808609656525
15,0.0033676216643876993
7,1.6429007427561538e-05
2,0.00046097295121176265
6,0.012385107249698499
1,1.1826036616365147e-06
2,0.0024186651083985015
1,0.0
2,4.942350786624287e-06
1,3.479379411979472e-07
4,2.8844900055058692e-05
5,0.0013608004607039302
1,4.3157904888657424e-07
6,2.5876881726881237e-06
4,0.0003386867023724773
3,8.449281332022395e-08
14,0.00361801331902352
87,0.006275861560596838
5,0.0007762104860166712
4,9.826195952150282e-06
3,0.0010170688419387035
86,0.0005023325435732025
7,0.00028196363650018837
2,0.000827512050635864
1,0.0001308352518796035
1,1.8533686743683134e-07
19,0.002814115563514406
3,0.0001888483872858717
6,0.0009720636842134468
2,0.0036348703090855338
1,2.7248932295772226e-07
3,0.00038598510735351197
5,9.822399210836543e-05
1,1.260915420085851e-07
1,0.00016541834978668082
2,0.0004830652143860239
1,0.0
64,0.01712397465457141
2,0.0
1,0.0
2,0.0007607691419289698
1,0.00011709274136961626
1,0.0
6,0.0039979633464357015
225,0.0028766814710751115
2,0.0004223526267291932
4,0.0023350567823855533
10,0.0015980592021432598
10,0.00039489420029912095
1,0.0
6,0.0019737742431720356
1,0.0
2,0.001016276178903121
2,0.007228551421357406
7,3.293076522645157e-05
6,5.8165459489305765e-05
9,0.005908635521809503
15,0.0010872048597918985
13,0.00199377946599027
1,1.888186157173703e-05
2,2.7148129056037536e-07
4,0.003993666285605507
5,8.145198240097412e-07
1,0.0007666737389193398
3,1.5727242469441498e-06
3,0.0015241675472093925
44,0.0034626162355053626
1,5.828693870321043e-07
1,0.0006521546528659781
1,1.8700247653961335e-07
1,0.0
3,4.737392092603883e-05
1,0.0
7,0.009927874658019897
2,3.2511532617905584e-05
2,0.0
1,0.0
1,2.807245558293334e-06
1,2.2294414337545973e-05
5,0.0007771254472793445
2,0.00013068561404716092
3,8.690779124350738e-07
3,7.391335940552236e-05
1,6.336752296654971e-05
1,0.00046586999514750205
12,0.002407579158941306
1,0.0027439492247781673
6,0.0025669848784125758
3,0.00011488093374119306
4,0.007187535577978566
2,7.55171173168557e-07
3,0.00018180889268948783
1,0.0
1,0.0023235294375323263
16,0.0010737331847245166
1,1.2254413664782796e-06
2,0.0
1,0.001550438953590304
47,0.0007756656587342614
2,5.773962810258541e-06
7,0.00036947007829959814
36,0.0031281644778106614
1,6.878841575110501e-07
4,7.515088128237284e-05
6,0.00040184105531883757
1,6.751763385741592e-07
1,0.00011627202594172192
2,9.692974796236759e-05
1,0.0006107174870190307
9,0.0008661931961394289
10,0.0017340613252778236
1,0.00010291593337820278
2,4.104774298222153e-05
20,0.000776936578622748
1,0.0005116986166048748
3,0.0015822050446776827
1,0.002538147213576864
1,4.624033317016318e-05
2,8.375716255891587e-07
3,0.00010912746223856162
1,6.25076356451889e-05
12,0.0009166149206434847
1,0.00012063044486849644
6,0.0025919668007423004
1,8.979237591245421e-06
8,0.0013896866411673022
3,0.001685447368740741
1,0.0013793207289081269
1,1.2659652100672845e-06
3,0.0010520606209360654
3,0.0005304229870110181
1,0.00023607425387807014
1,2.1479744223822768e-06
1,6.78195648250331e-08
1,0.0
1,0.0005283558656275946
2,5.085503495589907e-05
1,1.2643715014398727e-05
1,9.083909019352991e-07
8,0.0021209197475071102
6,0.0008353815077195936
1,2.3267101785211572e-07
2,0.0011076427204347798
6,0.0018048101754577466
1,0.0005086467361877482
3,0.0001373453249007588
2,5.5916173122727125e-06
2,5.760490507233374e-06
1,0.0003076405824909923
1,3.309676014917794e-05
1,0.00010172911163643602
1,3.136654873157781e-06
1,0.0006019554273628945
1,0.0028213099041188494
2,0.0007924832326009308
8,0.004510724119473841
27,0.001290072996910088
2,0.004461352583169455
3,8.171360300173913e-05
1,5.546246453708548e-06
2,0.00026139600314253794
6,1.4272377773878931e-05
3,5.651630402086091e-08
7,1.954052539487116e-05
5,0.0020532185316044066
1,2.753494719261313e-05
1,1.0696349042277788e-05
66,0.003671337125937679
2,7.610822703101707e-06
1,0.0005526285439398856
1,1.0568454343031392e-06
2,0.0012615069650115543
2,0.0023964921442608815
8,0.00025550571989961914
1,0.0
4,0.0026003600663185075
1,0.00013729186846377778
2,0.00011688816499760325
6,0.00022048713223255477
3,6.636837091417338e-05
22,0.0012835975195383419
10,0.0006414822468664119
3,0.0005222808137127947
18,0.00011916993715355118
18,0.002101614064528433
9,0.0009697447799560131
11,0.05201004618858158
6,9.08986759984415e-05
2,0.0
1,0.0020010162601626015
2,0.0008316022471877369
3,1.6784434601431127e-05
4,0.0010303140765400116
1,0.0
1,2.738735827271661e-05
7,0.007725356261529562
21,0.0079356367566185
4,0.0003841250554972579
2,8.607480886250611e-05
3,0.002934695659716083
2,1.843307213883258e-06
3,5.706405307383622e-07
2,9.713537909642537e-06
2,0.0
4,0.0017826730020992102
27,0.008264078450721723
6,9.445088143896235e-06
3,0.0030827582171941517
13,0.002782673877943324
3,0.0
1,0.0013679338977782504
2,2.083304400678219e-06
2,3.4261688967706206e-06
1,2.209068956112368e-05
4,0.0016079196644431402
1,0.0
1,0.0
8,0.00913155488899502
5,8.786798004085429e-07
4,5.7549950522503745e-05
10,2.897629847341223e-05
1,0.0
4,0.0033996455622845936
2,2.882331505063907e-06
1,0.0007716193059615752
1,0.0007338704596009201
28,0.0007230340918189279
12,0.0002527266112396691
69,0.0096198864471158
4,0.019565256111705658
1,4.9598395685674935e-05
1,0.0010163779082503586
19,0.0014809344398499756
31,0.00010352331627416882
6,0.003100341114225891
12,4.481603121251196e-05
2,0.0010345438561540706
34,0.009399132929178655
5,8.507554849104563e-05
6,0.00020011010083307947
1,9.613515851508506e-05
18,0.00010774998822280762
7,0.0018297980160635276
1,1.5842749891883183e-06
11,0.0008276534827538481
2,1.0969814610449103e-05
15,0.0005000075190422562
6,1.999700539880912e-06
2,0.00013437525650958758
14,0.0002995816421912563
1,0.0005764107686409957
2,0.0005311001752501805
4,6.110140942286765e-05
8,0.0003465622179651846
4,0.0010686364378898272
156,0.023620109860145812
33,0.00022781676279293978
2,0.0011444254448568535
1,0.0
1,0.0015944093058059556
1,0.0001167779738206722
6,0.002007207977005668
3,8.4264205835529e-05
2,0.0024258017833160427
3,0.000590688202857026
2,1.5268375078028163e-06
1,0.0
28,0.00024883140151147926
16,0.0018124497106279604
1,0.0
2,1.8106164458217405e-06
1,0.000546220737162684
1,4.9002830686388105e-06
3,0.002999164925978707
1,3.431717834120205e-06
1,0.0003642607205798414
3,3.517332549526865e-06
1,0.00018306156074423182
14,0.0027998218990386496
2,0.0002129160281197863
2,0.00016270582265995597
3,0.00021843874772461085
1,0.0016941294381072878
9,1.208869701688446e-06
1,1.850154305735725e-05
8,0.00226134464817212
1,0.0005337628898558795
1,3.9768781623806324e-05
4,0.0005614483471246079
1,2.6259019393046588e-06
1,0.0010462769123730292
4,0.007296157511450573
19,0.0006754619650727561
2,0.0005163735089364487
7,0.0009565721148485011
14,0.0018066108892109732
1,0.0
3,0.0
1,1.620403173855255e-06
2,0.003374684507940162
2,5.821536394919863e-05
11,0.001292844722939235
25,0.004478120616244656
19,0.0029979747417552692
35,0.000755058035440104
1,0.0003986475711653515
1,1.0172934723754965e-06
5,0.00012463903703689009
3,0.00015764163761682463
1,0.0009022063308181744
2,0.0003350846959374793
3,5.589524573491739e-08
2,0.001020935815056668
2,5.121879811198974e-05
1,4.124933404733062e-05
23,0.00041353902532293715
1,0.0
2,0.004134288214378457
2,0.00043268466484275146
2,0.0010372522422688127
5,0.0004966509695542871
1,0.0014550545229687938
1,2.7197884099763156e-05
2,5.820753051806046e-05
1,0.0005144477311076037
10,7.175924331698837e-06
1,0.0
2,2.61727600623666e-06
3,8.237211905197953e-05
1,0.000570996965681922
16,0.001352584022091928
1,1.068158145994271e-06
1,3.2610147829695828e-06
3,5.7844880200588425e-05
1,2.2608339615326853e-06
1,3.2205180773904764e-06
1,3.3117173182783066e-06
3,3.971008001514246e-05
3,0.0020044068016569325
15,0.00012360850915127598
7,0.00252605527432375
1,0.007980792703869461
61,0.0036270159461264657
3,9.216335952850975e-05
4,0.002287102644572113
4,7.876218836527e-05
7,7.788170351826704e-06
1,5.694502561784389e-05
5,5.836441738496552e-07
1,0.0001919271918477766
6,3.866258338727867e-06
16,0.0019472022068994948
1,4.1062159317083364e-06
2,7.424258351280056e-05
230,0.013526125234885037
3,4.3057868954664e-06
4,0.0006986831058109416
1,8.896900355800093e-07
1,0.0
1,3.487863333858845e-07
24,0.010446412887576105
18,0.0004208851967113964
1,4.4790401734915575e-06
4,0.0034737859125560603
3,2.084749280862852e-06
7,0.0001889860052966779
2,7.446582399090379e-05
2,0.00012451867379510118
1,2.4999826345877376e-06
2,0.005100074366411007
1,0.00012159299488353617
1,2.3378627806885e-05
23,0.009158166731227423
1,1.9798972058363703e-06
1,0.00011265358616010061
1,3.0385587168930003e-06
2,7.056464244890348e-07
5,4.5489918508270125e-05
3,0.003414978860947723
1,3.996510070046593e-07
10,0.0003444940037717335
1,1.0800676224010876e-06
3,3.327256195207087e-05
3,0.006431586907395314
6,0.000560298663474974
7,0.0
5,0.007837061370697356
9,0.002014808211680668
10,0.0002696766143114004
4,0.0024340157004445716
1,0.0
1,5.179699398677709e-06
3,5.9732329010015436e-05
1,9.861840982341433e-07
3,0.0013582412455857603
3,2.8258152010430456e-08
23,3.076731536514113e-05
1,4.1522182545938627e-08
3,0.001339371274465145
2,0.0008565622907916723
2,0.0
1,0.0005283513450775654
9,0.010182184338455339
1,0.0
1,2.2773916388003826e-06
51,0.011396355295464934
2,2.9971518579152352e-05
2,0.0034242378909028768
3,0.0005178660533925817
2,0.0034588066803751235
2,3.818401172608183e-06
2,0.0
5,0.001873283001964467
23,0.0020787567687599287
1,0.00010696874380603274
2,0.00328432210837464
2,6.938463170561079e-06
2,0.000612212565618733
6,0.0005595815351903939
3,9.79678596947782e-07
11,0.0026246703064017863
64,0.0007950870006252299
2,6.86418385020961e-07
14,0.0004868898443926236
2,1.9858415052046113e-05
7,0.009472248280188075
75,0.011210152031440343
1,0.0005128835044823541
9,0.013178624535575282
6,0.0029969530235285096
30,1.5778159538084465e-05
1,0.0014359741616454082
37,0.00346027259999501
31,0.00020715751455828012
7,0.0007900628087116238
1,4.5916520328910084e-06
5,1.2313652897043914e-05
2,1.802379759174238e-05
335,0.07052458350041386
4,0.0005108721359510756
4,4.5723351098609695e-05
2,1.40222088121576e-06
8,1.1223969329812461e-05
12,1.3442806599247633e-06
3,8.134263099031185e-05
1,0.0
3,7.411041482467043e-05
2,0.006436564413823627
4,1.1190228196130463e-06
2,0.00061059263424719
6,0.0001973122190986219
1,2.1051919559884824e-05
7,0.0012102031000243742
23,0.004678135674053657
1,9.786212811385636e-06
239,0.00037890817598379656
3,4.656530353459046e-06
13,0.002196985544162011
21,0.005203048299254687
2,2.5325890687904514e-06
7,0.002013922547142191
5,0.00122622190027851
13,0.0016872064655637615
24,0.0021821807722546336
2,2.4351361090136737e-07
2,8.13464430595106e-06
12,7.988378670696937e-05
3,0.0018314808475054134
64,0.016225731309531193
2,0.0010457593678718327
55,8.080574752495013e-06
24,0.0020880326840783895
4,0.00010334206271992641
14,0.001311932329635336
7,0.0001592241097448755
1,0.0
11,0.00018886238044934795
15,9.03239237438802e-05
1,0.0001395498178262717
19,0.03828741153802496
2,0.0
2,0.0015638097267206014
3,1.853593816962914e-07
6,0.0002676008477093838
14,0.010229043977577524
2,4.293867903130805e-05
4,0.005148165190600632
13,1.4294703622437402e-06
2,0.0007356004537949033
10,0.004617032007183525
2,0.0017606866260726124
2,0.0005087131003324659
10,0.0001999335834608977
7,0.004089633251214675
1,8.94534255782014e-06
9,0.0036495618094253114
1,9.390401283466122e-08
1,1.422718297307461e-06
320,0.024522810476803755
36,0.0001538225096034784
1,1.1867753396238915e-06
9,0.0009988152232044062
4,1.2503463515639586e-06
2,0.0
3,8.925161049131542e-06
1,0.0
1,5.679956305909534e-06
2,0.00011371163010360495
8,0.0009774154904051784
3,0.0019261523035821006
2,1.2207521668505957e-06
1,0.0003590372301708934
2,0.0006659650049115862
9,0.000604410624399215
7,0.0008561785018617998
3,6.488820594755735e-05
13,0.0003340139447636822
3,0.0003453220261253767
9,1.8460566628280323e-05
2,2.7361444535635395e-05
4,0.0010892043806063154
4,1.7687030142072596e-05
1,0.0007848166490896375
2,8.250042697837628e-05
2,0.00016118573582653222
8,6.610304841299277e-05
7,9.428422014317164e-06
40,0.005909922979342581
1,2.2649147646241463e-06
4,4.237153802580611e-06
1,0.0005092983320870319
78,0.010618977559195412
99,0.027654157502564315
3,0.00017761187093689093
511,0.0036679962632997507
15,0.002384267979218847
22,0.0016706414051671475
2,9.747140605586599e-05
13,0.0003562299707357766
1,6.264413059967765e-07
1,1.9168768776929815e-05
3,0.0006142928649340728
42,0.005712538762524767
