user,community,in-degree,out-degree,total-degree
27456576,A,226,0,226
61567461,A,95,0,95
1216857073,A,88,0,88
723084665209393152,A,74,0,74
413916151,A,56,4,60
2812961,A,55,1,56
416476798,A,53,0,53
5893702,A,48,0,48
1093522737241513984,A,42,0,42
1001971634,A,0,42,42
1080150091825061888,A,0,41,41
10282412,A,0,40,40
1073355817,A,0,40,40
605614784,A,27,13,40
101181771,A,0,39,39
616886078,A,38,0,38
61877999,A,37,0,37
25676606,A,35,0,35
